20161205-144705 6.0 -60 38
20161205-144928 6.0625 -59 36
20161205-145152 6.0625 -59 30
20161205-145415 6.0 -60 33
20161205-145639 6.0625 -60 37
20161205-145902 6.0 -60 39
20161205-150126 6.0625 -60 46
20161205-150349 6.0 -60 38
20161205-150613 6.0 -60 44
20161205-150838 6.0625 -59 35
20161205-151102 6.0625 -59 34
20161205-151325 6.0625 -59 34
20161205-151549 6.0625 -59 33
20161205-151812 6.0625 -59 37
20161205-152035 6.0 -59 31
20161205-152259 6.0625 -59 32
20161205-152522 6.0 -59 34
20161205-152746 6.0625 -61 41
20161205-153009 6.0 -58 36
20161205-153233 6.0 -58 36
20161205-153457 6.0 -57 38
20161205-153720 6.0625 -58 38
20161205-153944 6.0 -57 39
20161205-154207 6.0 -57 37
20161205-154431 6.0 -57 39
20161205-154654 6.0625 -57 38
20161205-154918 6.0 -59 36
20161205-155141 6.0625 -58 38
20161205-155405 6.0 -58 38
20161205-155628 6.0 -58 37
20161205-155852 6.0625 -58 37
20161205-160115 6.0625 -58 38
20161205-160339 6.0625 -58 38
20161205-160603 6.0625 -58 35
20161205-160827 6.0 -58 37
20161205-161051 6.0 -58 37
20161205-161314 6.0 -58 36
20161205-161538 6.0 -59 33
20161205-161802 6.0625 -59 33
20161205-162026 6.0 -59 34
20161205-162249 6.0 -59 36
20161205-162513 6.0625 -59 36
20161205-162737 6.0 -59 34
20161205-163000 6.0 -58 34
20161205-163224 6.0 -58 37
20161205-163448 6.0 -58 38
20161205-163712 6.0 -58 37
20161205-163935 6.0 -57 38
20161205-164159 6.0 -58 34
20161205-164423 6.0 -58 39
20161205-164647 6.0 -58 38
20161205-164910 6.0 -58 38
20161205-165134 6.0 -58 38
20161205-165358 6.0 -58 38
20161205-165621 6.0 -58 39
20161205-165845 6.0625 -58 37
20161205-170109 6.0 -58 38
20161205-170333 6.0625 -57 36
20161205-170556 6.0 -58 35
20161205-170820 6.0625 -57 37
20161205-171043 6.0 -58 36
20161205-171307 6.0625 -57 36
20161205-171530 6.0625 -57 35
20161205-171753 6.0625 -57 38
20161205-172017 6.0 -57 38
20161205-172240 6.0 -57 36
20161205-172503 6.0625 -57 39
20161205-172727 6.0 -58 36
20161205-172950 6.0 -58 37
20161205-173213 6.0 -57 39
20161205-173437 6.0 -57 37
20161205-173702 6.0625 -57 38
20161205-173925 6.0 -57 38
20161205-174149 6.0 -58 36
20161205-174412 6.0 -58 35
20161205-174635 6.0 -58 34
20161205-174858 6.0625 -57 34
20161205-175122 6.0625 -57 36
20161205-175345 6.0625 -57 36
20161205-175608 6.0625 -58 37
20161205-175832 6.0 -58 37
20161205-180055 6.0 -58 38
20161205-180318 6.0 -58 38
20161205-180542 6.0 -57 39
20161205-180805 6.0625 -57 38
20161205-181028 6.0 -57 39
20161205-181252 6.0625 -57 38
20161205-181515 6.0625 -57 39
20161205-181738 6.0 -57 39
20161205-182001 6.0625 -57 38
20161205-182225 6.0 -57 38
20161205-182448 6.0 -57 38
20161205-182711 6.0625 -57 38
20161205-182935 6.0 -57 38
20161205-183158 6.0625 -57 40
20161205-183421 6.0 -57 38
20161205-183644 6.0625 -57 39
20161205-183908 6.0 -58 39
20161205-184131 6.0625 -57 38
20161205-184354 6.0625 -58 38
20161205-184618 6.0625 -57 37
20161205-184841 6.0 -57 38
20161205-185104 6.0 -58 39
20161205-185327 6.0625 -58 38
20161205-185551 6.0625 -58 39
20161205-185814 6.0625 -58 38
20161205-190037 6.0625 -58 37
20161205-190301 6.0625 -58 38
20161205-190524 6.0625 -57 39
20161205-190747 6.0625 -57 39
20161205-191011 6.0625 -57 37
20161205-191234 6.0625 -58 38
20161205-191457 6.0 -58 39
20161205-191721 6.0625 -58 38
20161205-191944 6.0625 -58 38
20161205-192207 6.0625 -58 37
20161205-192430 6.0625 -58 37
20161205-192654 6.0625 -58 38
20161205-192917 6.0625 -58 38
20161205-193140 6.0625 -58 36
20161205-193404 6.0625 -58 37
20161205-193627 6.0 -58 37
20161205-193850 6.0625 -58 37
20161205-194114 6.0625 -58 39
20161205-194337 6.0625 -57 39
20161205-194601 6.0625 -57 38
20161205-194824 6.0625 -57 39
20161205-195047 6.0625 -58 37
20161205-195311 6.0625 -58 36
20161205-195534 6.0625 -58 39
20161205-195757 6.0625 -57 35
20161205-200021 6.0625 -57 35
20161205-200244 6.0625 -58 36
20161205-200510 6.0625 -58 39
20161205-200733 6.0625 -58 39
20161205-200956 6.0625 -57 38
20161205-201220 6.0625 -58 37
20161205-201443 6.0625 -57 38
20161205-201706 6.0625 -57 36
20161205-201930 6.0625 -58 36
20161205-202153 6.0625 -58 37
20161205-202416 6.0625 -58 37
20161205-202640 6.0625 -58 38
20161205-202903 6.0625 -58 37
20161205-203126 6.0625 -58 36
20161205-203350 6.0625 -58 36
20161205-203613 6.0625 -58 37
20161205-203837 6.0625 -57 39
20161205-204100 6.0625 -58 37
20161205-204323 6.0625 -58 39
20161205-204547 6.0625 -58 36
20161205-204810 6.0625 -58 36
20161205-205033 6.0625 -58 37
20161205-205257 6.0625 -58 38
20161205-205520 6.0625 -58 37
20161205-205743 6.0625 -57 38
20161205-210007 6.0625 -58 37
20161205-210230 6.0625 -58 39
20161205-210453 6.0625 -58 39
20161205-210717 6.0625 -58 36
20161205-210940 6.0625 -58 37
20161205-211203 6.0625 -58 38
20161205-211427 6.0625 -58 36
20161205-211650 6.0625 -58 37
20161205-211913 6.0625 -58 38
20161205-212137 6.0625 -58 38
20161205-212400 6.0625 -58 36
20161205-212623 6.0625 -58 38
20161205-212847 6.0625 -58 38
20161205-213110 6.0625 -58 37
20161205-213333 6.0625 -57 37
20161205-213557 6.0625 -58 38
20161205-213820 6.0625 -58 38
20161205-214044 6.0625 -58 37
20161205-214307 6.0625 -58 39
20161205-214530 6.0625 -58 38
20161205-214754 6.0625 -58 38
20161205-215017 6.0625 -58 38
20161205-215240 6.0625 -58 36
20161205-215504 6.0625 -58 35
20161205-215727 6.0625 -58 38
20161205-233749 6.125 -58 39
20161205-234012 6.125 -58 39
20161205-234235 6.125 -58 39
20161205-234459 6.0625 -58 39
20161205-234722 6.125 -58 38
20161205-234945 6.125 -57 39
20161205-235209 6.125 -58 38
20161205-235432 6.125 -58 35
20161205-235655 6.125 -58 39
20161205-235918 6.0625 -58 39
20161206-000142 6.125 -57 39
20161206-000405 6.0625 -58 34
20161206-000628 6.125 -59 34
20161206-000852 6.125 -59 32
20161206-001115 6.125 -59 33
20161206-001338 6.125 -59 36
20161206-001601 6.125 -58 37
20161206-001825 6.125 -58 36
20161206-002048 6.125 -58 36
20161206-002311 6.125 -58 33
